Field,Type,Description
nflverse_game_id,character,"nflverse identifier for games. Format is season, week, away_team, home_team"
old_game_id,character,Legacy NFL game ID.
play_id,integer,Numeric play id that when used with game_id and drive provides the unique identifier for a single play.
possession_team,character,String abbreviation for the team with possession.
offense_formation,character,Formation the offense lines up in to snap the ball.
offense_personnel,character,"Number of running backs, tight ends, and wide receivers on the field for the play. If there are more than the standard 5 offensive linemen and 1 quarterback, they will be listed here as well."
defenders_in_box,integer,Number of defensive players lined up in the box at the snap.
defense_personnel,character,"Number of defensive linemen, linebackers, and defensive backs on the field for the play. "
number_of_pass_rushers,integer,Number of defensive player who rushed the passer.
players_on_play,character,"A list of every player on the field for the play, by gsis_it_id"
offense_players,character,"A list of every offensive player on the field for the play, by gsis_id"
defense_players,character,"A list of every defensive player on the field for the play, by gsis_id"
n_offense,integer,Number of offensive players on the field for the play
n_defense,integer,Number of defensive players on the field for the play
ngs_air_yards,double,Distance (in yards) that the ball traveled in the air on a given passing play as tracked by NGS
time_to_throw,double,Duration (in seconds) between the time of the ball being snapped and the time of release of a pass attempt
was_pressure,logical,A boolean indicating whether or not the QB was pressured on a play
defense_man_zone_type,character,A string indicating whether the defense was in man or zone coverage on a play
defense_coverage_type,character,A string indicating what type of cover the defense was in on a play
