"","Field","Description","Type"
"1","play_id","Numeric play id that when used with game_id and drive provides the unique identifier for a single play.","numeric"
"2","game_id","Ten digit identifier for NFL game.","character"
"3","old_game_id","Legacy NFL game ID.","character"
"4","home_team","String abbreviation for the home team.","character"
"5","away_team","String abbreviation for the away team.","character"
"6","season_type","'REG' or 'POST' indicating if the game belongs to regular or post season.","character"
"7","week","Season week.","numeric"
"8","posteam","String abbreviation for the team with possession.","character"
"9","posteam_type","String indicating whether the posteam team is home or away.","character"
"10","defteam","String abbreviation for the team on defense.","character"
"11","side_of_field","String abbreviation for which team's side of the field the team with possession is currently on.","character"
"12","yardline_100","Numeric distance in the number of yards from the opponent's endzone for the posteam.","numeric"
"13","game_date","Date of the game.","character"
"14","quarter_seconds_remaining","Numeric seconds remaining in the quarter.","numeric"
"15","half_seconds_remaining","Numeric seconds remaining in the half.","numeric"
"16","game_seconds_remaining","Numeric seconds remaining in the game.","numeric"
"17","game_half","String indicating which half the play is in, either Half1, Half2, or Overtime.","character"
"18","quarter_end","Binary indicator for whether or not the row of the data is marking the end of a quarter.","numeric"
"19","drive","Numeric drive number in the game.","numeric"
"20","sp","Binary indicator for whether or not a score occurred on the play.","numeric"
"21","qtr","Quarter of the game (5 is overtime).","numeric"
"22","down","The down for the given play.","numeric"
"23","goal_to_go","Binary indicator for whether or not the posteam is in a goal down situation.","numeric"
"24","time","Time at start of play provided in string format as minutes:seconds remaining in the quarter.","character"
"25","yrdln","String indicating the current field position for a given play.","character"
"26","ydstogo","Numeric yards in distance from either the first down marker or the endzone in goal down situations.","numeric"
"27","ydsnet","Numeric value for total yards gained on the given drive.","numeric"
"28","desc","Detailed string description for the given play.","character"
"29","play_type","String indicating the type of play: pass (includes sacks), run (includes scrambles), punt, field_goal, kickoff, extra_point, qb_kneel, qb_spike, no_play (timeouts and penalties), and missing for rows indicating end of play.","character"
"30","yards_gained","Numeric yards gained (or lost) by the possessing team, excluding yards gained via fumble recoveries and laterals.","numeric"
"31","shotgun","Binary indicator for whether or not the play was in shotgun formation.","numeric"
"32","no_huddle","Binary indicator for whether or not the play was in no_huddle formation.","numeric"
"33","qb_dropback","Binary indicator for whether or not the QB dropped back on the play (pass attempt, sack, or scrambled).","numeric"
"34","qb_kneel","Binary indicator for whether or not the QB took a knee.","numeric"
"35","qb_spike","Binary indicator for whether or not the QB spiked the ball.","numeric"
"36","qb_scramble","Binary indicator for whether or not the QB scrambled.","numeric"
"37","pass_length","String indicator for pass length: short or deep.","character"
"38","pass_location","String indicator for pass location: left, middle, or right.","character"
