field,data_type,description
player,character,
team,character,
pfr_id,character,
pass_attempts,numeric,
batted_balls,numeric,
throwaways,numeric,
spikes,numeric,
drops,numeric,
drop_pct,numeric,
bad_throws,numeric,
bad_throw_pct,numeric,
on_tgt_throws,numeric,
on_tgt_pct,numeric,
season,numeric,
pocket_time,numeric,
times_blitzed,numeric,
times_hurried,numeric,
times_hit,numeric,
times_pressured,numeric,
pressure_pct,numeric,
rpo_plays,numeric,
rpo_yards,numeric,
rpo_pass_att,numeric,
rpo_pass_yards,numeric,
rpo_rush_att,numeric,
rpo_rush_yards,numeric,
pa_pass_att,numeric,
pa_pass_yards,numeric,
