field,data_type,description
game_id,numeric, The ID of the game as assigned by the NFL. Note that this value matches the game_id field in nflverse packages if you wish to join the data.
season,numeric," The year of the NFL season. This reperesents the whole season, so regular season games that happen in January as well as playoff games will occur in the year after this number."
game_type,character," What type of game? One of REG, WC, DIV, CON, SB"
week,numeric,The week of the NFL season the game occurs in. Please note that the `game_type` will differ for weeks >= 18 because of the season expansion in 2021. Please use `game_type` to filter for regular season or postseason.
gameday,character, The date on which the game occurred.
weekday,character, The day of the week on which the game occcured.
gametime,character,"The kickoff time of the game. This is represented in 24-hour time and the Eastern time zone, regardless of what time zone the game was being played in."
away_team,character, The away team.
away_score,numeric, The number of points the away team scored. Is NA for games which haven't yet been played.
home_team,character, The home team. Note that this contains the designated home team for games which no team is playing at home such as Super Bowls or NFL International games.
home_score,numeric, The number of points the home team scored. Is NA for games which haven't yet been played.
location,character," Either Home if the home team is playing in their home stadium, or Neutral if the game is being played at a neutral location. This still shows as Home for games between the Giants and Jets even though they share the same home stadium."
result,numeric, The number of points the home team scored minus the number of points the visiting team scored. Equals h_score - v_score. Is NA for games which haven't yet been played. Convenient for evaluating against the spread bets.
total,numeric, The sum of each team's score in the game. Equals h_score + v_score. Is NA for games which haven't yet been played. Convenient for evaluating over/under total bets.
overtime ,numeric,Binary indicator of whether or not game went to overtime.
old_game_id,numeric,The old id for the game assigned by the NFL.
gsis,numeric, The id of the game issued by the NFL Game Statistics & Information System.
nfl_detail_id,numeric, The id of the game issued by NFL Detail.
pfr,numeric,The id of the game issued by [Pro-Football-Reference](https://www.pro-football-reference.com/)
pff,numeric,The id of the game issued by [Pro Football Focus](https://www.pff.com/)
espn,numeric, The id of the game issued by [ESPN](https://www.espn.com/)
away_rest,numeric,Days of rest that the away team is coming off of.
home_rest,numeric,Days of rest that the home team is coming off of.
away_moneyline,numeric,Odds for away team to win the game.
home_moneyline,numeric,Odds for home team to win the game.
spread_line,numeric," The spread line for the game. A positive number means the home team was favored by that many points, a negative number means the away team was favored by that many points. This lines up with the result column."
away_spread_odds,numeric,Odds for away team to cover the spread.
home_spread_odds,numeric,Odds for home team to cover the spread.
total_line,numeric, The total line for the game.
under_odds,numeric,Odds that total score of game would be under the total_line.
over_odds,numeric,Odds that total score of game would be over the total_ine.
div_game,numeric,Binary indicator of whether or not game was played by 2 teams in the same division.
roof,character," What was the status of the stadium's roof? One of outdoors, open, closed, dome"
surface,character, What type of ground the game was played on
temp,numeric, The temperature at the stadium (for outdoors and open only)
wind,numeric, The speed of the wind in miles/hour (for outdoors and open only)
away_qb_id,numeric,GSIS Player Id for away team starting quarterback.
home_qb_id,numeric,GSIS Player Id for home team starting quarterback.
away_qb_name,character,Name of away team starting QB.
home_qb_name,character,Name of home team starting QB.
away_coach,character, Name of the head coach of the away team
home_coach,character, Name of the head coach of the home team
referee,character, Name of the game's referee (head official)
stadium_id,character,ID of Stadium that game took place in
stadium,character, Name of the stadium
